,,,,,,,,,,,,,,,,,,
Single Choice Questions,,,,,,,,,,,,,,,,,,
SCQS Code ,Question Type code,Difficulty Level,Question,Option 1 (A),Option 1 Image,Option 2 (B),Option 2 Image,Option 3 (C),Option 3 Image,Option 4 (D),Option 4 Image,Option 5 (E),Option 5 Image,Option 6 (F),Option 6 Image,Correct Answer,,
555,X2132,Easy,"In JavaScript, what is the purpose of the ""typeof"" operator?",To declare a variable type,no,To create a new object type,no,To check the type of a variable or expression,no,To assign a variable type,no,To convert a variable to a specific type,no,To define a custom data type,no,C,,
555,X5123,Medium,What does JavaScript primarily provide to enhance web interactivity?,Style,no, Sound ,no,Behavior,no,Animation,no, Size,no,Taste,no,c,,
555,X5890,Hard,Which keyword is used to declare variables in JavaScript?,let,no,var,no,const,no, set,no,def,no,allow,no,a,,
555,X315,Easy,What does the acronym DOM stand for in JavaScript?,Document Object Model,no,Dynamic Object Manipulation,no,Data Object Model,no,Document Order Model,no,Distributed Object Model,no,Designated Object Module,no,a,,
555,X9481,Hard,Which of the following is NOT a data type in JavaScript?,String,no,Boolean,no,Float,no,Character,no,Null,no,Undefined,no,d,,
555,X9803,Hard,How is a single-line comment denoted in JavaScript?,//,no,--,,/*,no,#,no,',no,,no,a,,
555,X8741,Easy,What is the purpose of the typeof operator in JavaScript?,Determines the type of a variable,no,Converts a variable to a specific type,no,Assigns a new type to a variable,no,Checks if a variable is undefined,no,Concatenates variable types,no,Removes the type of a variable,no,a,,
555,X262,Medium,Which function is used to print output to the console in JavaScript?,log(),no,print(),no,display(),no,output(),no,show(),no,console(),no,a,,
555,X841,Easy,How can you prevent a specific event's default behavior in JavaScript?,event.cancel(),no,event.stop(),no,event.prevent(),no,event.abort(),no,event.halt(),no,event.preventDefault(),no,f,,
555,X2364,Hard,What does AJAX stand for in JavaScript?,Asynchronous JavaScript and XML,no,Advanced JavaScript and XHTML,no,Automated JavaScript and XQuery,no,Accelerated JavaScript and XPath,no,Assembled JavaScript and XSLT,no,Associated JavaScript and XLink,no,a,,
555,X5471,Medium,Which method is used to add new elements to the end of an array in JavaScript?,append(),no,push(),no,insert(),no,add(),no,concat(),no,extend(),no,b,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Multiple Choice Questions,,,,,,,,,,,,,,,,,,
MCQS Code ,Question Type code,Difficulty Level,Question,Option 1 (A),Option 1 Image,Option 2 (B),Option 2 Image,Option 3 (C),Option 3 Image,Option 4 (D),Option 4 Image,Option 5 (E),Option 5 Image,Option 6 (E),Option 6 Image,Correct Answer,,
XXXX,XXXX,Medium,"In JavaScript, what is the purpose of the ""typeof"" operator?",To declare a variable type,,To create a new object type,,To check the type of a variable or expression,,To assign a variable type,,To convert a variable to a specific type,,To define a custom data type,,"C,E",,
XXXX,XXXX,Hard,Which of the following is a valid way to declare a JavaScript function?,function myFunction() {},,var myFunction = function() {},,const myFunction = () => {},,function = myFunction() {},,function: myFunction() {},,myFunction: function() {},,"a,b",,
XXXX,XXXX,Easy,"What is the purpose of the ""this"" keyword in JavaScript?",Refers to the current HTML document,,Refers to the global object,,Refers to the parent function,,Refers to the calling object,,Refers to the next sibling element,,Refers to the window object,,"b, d",,
XXXX,XXXX,Hard,How can you check if a variable is an array in JavaScript?,isArray(variable),,variable.typeOf() === 'array',,typeof variable === 'array',,variable instanceof Array,,Array.check(variable),,variable.isArray(),,"a, d",,
XXXX,XXXX,Hard,"What does the ""=== ""operator do in JavaScript?",Compares values for equality without type coercion,,Assigns a value to a variable,,Checks if a variable is defined,,Performs a bitwise comparison,,Compares values for equality with type coercion,,Concatenates two strings,,"a, e",,
XXXX,XXXX,Easy,"In JavaScript, what is the purpose of the ""break"" statement?",Exits the current loop or switch statement,,Continues to the next iteration of a loop,,Throws an exception,,Terminates the script execution,,Skips the next line of code,,Halts the browser,,"a, d",,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fill in the Blanks,,,,,,,,,,,,,,,,,,
FITB Code,Question Type code,Difficulty Level,Question,Anwers,,,,,,,,,,,,,,
XXXX,XXXX,Medium,"The ""==="" operator in JavaScript checks both value and ______________ equality.",Type,,,,,,,,,,,,,,
XXXX,XXXX,Medium,JavaScript is a ______________ programming language widely used for creating dynamic and interactive web content.,scripting,,,,,,,,,,,,,,
XXXX,XXXX,Hard,"The ""DOM"" stands for Document ______________ Model.",Object,,,,,,,,,,,,,,
XXXX,XXXX,Easy,"In JavaScript, a variable declared with the ""const"" keyword cannot be ______________ after initialization.",reassigned,,,,,,,,,,,,,,
XXXX,XXXX,Hard,The function keyword is used to declare ______________ in JavaScript.,functions,,,,,,,,,,,,,,
XXXX,XXXX,Hard,"The ""querySelector"" method is used to select HTML elements using ______________.",CSS selectors,,,,,,,,,,,,,,
XXXX,XXXX,Easy,"JavaScript uses the ""try,"" ""catch,"" and ______________ statements for error handling.",finally,,,,,,,,,,,,,,
XXXX,XXXX,Medium,"The ""DOM"" stands for Document ______________ and ______________ Model.","Object, Object-oriented",,,,,,,,,,,,,,
XXXX,XXXX,Easy,"In JavaScript, a variable declared with the ""const"" keyword cannot be ______________ or ______________ after initialization.","reassigned, redeclared",,,,,,,,,,,,,,
XXXX,XXXX,Hard,The function keyword is used to declare ______________ and ______________ in JavaScript.,"functions, methods",,,,,,,,,,,,,,
XXXX,XXXX,Medium,"The ""==="" operator in JavaScript checks both value and ______________, ______________ equality.","type, strict",,,,,,,,,,,,,,
XXXX,XXXX,Easy,"JavaScript uses the ""try,"" ""catch,"" and ______________, ______________ statements for error handling.","finally, throw",,,,,,,,,,,,,,
XXXX,XXXX,Hard,"The ""querySelector"" method is used to select HTML elements using ______________ and ______________.","CSS selectors, pseudo-classes",,,,,,,,,,,,,,
XXXX,XXXX,Hard,JavaScript is a ______________ and ______________ programming language widely used for creating dynamic and interactive web content.,"scripting, interpreted",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sequence Questions,,,,,,,,,,,,,,,,,,
Sequence Code ,Question Type code,Difficulty Level,Question,Option 1 (A),Option 1 Image,Option 2 (B),Option 2 Image,Option 3 (C),Option 3 Image,Option 4 (D),Option 4 Image,Option 5 (E),Option 5 Image,Option 6 (F),Option 6 Image,Correct Answer,,
XXXX,XXXX,easy,"In JavaScript, what is the purpose of the ""typeof"" operator?",To declare a variable type,,To create a new object type,,To check the type of a variable or expression,,To assign a variable type,,To convert a variable to a specific type,,To define a custom data type,,"B,E,C,D,A,F",,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
True/False Questions,,,,,,,,,,,,,,,,,,
True/False Code,Question Type code,Difficulty Level,Question,Option 1 - True,Option 2 - False,Answer,,,,,,,,,,,,
XXXX,XXXX,Hard,JavaScript is a compiled programming language.,TRUE,FALSE,FALSE,,,,,,,,,,,,
XXXX,XXXX,Medium,"The ""localStorage"" object in JavaScript has a higher storage limit compared to ""sessionStorage.""",TRUE,FALSE,FALSE,,,,,,,,,,,,
XXXX,XXXX,Hard,JavaScript is primarily a server-side scripting language.,TRUE,FALSE,FALSE,,,,,,,,,,,,
XXXX,XXXX,Easy,"The ""null"" value in JavaScript represents an empty or non-existent object.",TRUE,FALSE,FALSE,,,,,,,,,,,,
XXXX,XXXX,Hard,"JavaScript is a strictly typed language, meaning variable types cannot change dynamically.",TRUE,FALSE,FALSE,,,,,,,,,,,,
