Single Choice Questions,,,,,,,,,,,,,,,,
,,Difficulty Level,Question,Option 1 (A),Option 1 Image,Option 2 (B),Option 2 Image,Option 3 (C),Option 3 Image,Option 4 (D),Option 4 Image,Option 5 (E),Option 5 Image,Option 6 (F),Option 6 Image,Correct Answer
,,Hard,"In JavaScript, what is the purpose of the ""typeof"" operator?",To declare a variable type,no,To create a new object type,no,To check the type of a variable or expression,no,To assign a variable type,no,To convert a variable to a specific type,no,To define a custom data type,no,C
,,Easy,What does JavaScript primarily provide to enhance web interactivity?,Style,no, Sound ,no,Behavior,no,Animation,no, Size,no,Taste,no,c
,,Hard,Which keyword is used to declare variables in JavaScript?,let,no,var,no,const,no, set,no,def,no,allow,no,a
,,Easy,What does the acronym DOM stand for in JavaScript?,Document Object Model,no,Dynamic Object Manipulation,no,Data Object Model,no,Document Order Model,no,Distributed Object Model,no,Designated Object Module,no,a
,,Hard,Which of the following is NOT a data type in JavaScript?,String,no,Boolean,no,Float,no,Character,no,Null,no,Undefined,no,d
,,Easy,How is a single-line comment denoted in JavaScript?,//,no,--,,/*,no,#,no,',no,,no,a
,,Easy,What is the purpose of the typeof operator in JavaScript?,Determines the type of a variable,no,Converts a variable to a specific type,no,Assigns a new type to a variable,no,Checks if a variable is undefined,no,Concatenates variable types,no,Removes the type of a variable,no,a
,,Hard,Which function is used to print output to the console in JavaScript?,log(),no,print(),no,display(),no,output(),no,show(),no,console(),no,a
,,Medium,How can you prevent a specific event's default behavior in JavaScript?,event.cancel(),no,event.stop(),no,event.prevent(),no,event.abort(),no,event.halt(),no,event.preventDefault(),no,f
,,Hard,What does AJAX stand for in JavaScript?,Asynchronous JavaScript and XML,no,Advanced JavaScript and XHTML,no,Automated JavaScript and XQuery,no,Accelerated JavaScript and XPath,no,Assembled JavaScript and XSLT,no,Associated JavaScript and XLink,no,a
,,Hard,Which method is used to add new elements to the end of an array in JavaScript?,append(),no,push(),no,insert(),no,add(),no,concat(),no,extend(),no,b
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Multiple Choice Questions,,,,,,,,,,,,,,,,
,,Difficulty Level,Question,Option 1 (A),Option 1 Image,Option 2 (B),Option 2 Image,Option 3 (C),Option 3 Image,Option 4 (D),Option 4 Image,Option 5 (E),Option 5 Image,Option 6 (E),Option 6 Image,Correct Answer
,,Easy,"In JavaScript, what is the purpose of the ""typeof"" operator?",To declare a variable type,no,To create a new object type,no,To check the type of a variable or expression,no,To assign a variable type,no,To convert a variable to a specific type,no,To define a custom data type,no,"C,E"
,,Easy,Which of the following is a valid way to declare a JavaScript function?,function myFunction() {},no,var myFunction = function() {},no,const myFunction = () => {},no,function = myFunction() {},no,function: myFunction() {},no,myFunction: function() {},no,"a, b"
,,Hard,"What is the purpose of the ""this"" keyword in JavaScript?",Refers to the current HTML document,no,Refers to the global object,no,Refers to the parent function,no,Refers to the calling object,no,Refers to the next sibling element,no,Refers to the window object,no,"b, d"
,,Easy,How can you check if a variable is an array in JavaScript?,isArray(variable),no,variable.typeOf() === 'array',no,typeof variable === 'array',no,variable instanceof Array,no,Array.check(variable),no,variable.isArray(),no,"a, d"
,,Easy,"What does the ""=== ""operator do in JavaScript?",Compares values for equality without type coercion,no,Assigns a value to a variable,no,Checks if a variable is defined,no,Performs a bitwise comparison,no,Compares values for equality with type coercion,no,Concatenates two strings,no,"a, e"
,,Easy,"In JavaScript, what is the purpose of the ""break"" statement?",Exits the current loop or switch statement,no,Continues to the next iteration of a loop,no,Throws an exception,no,Terminates the script execution,no,Skips the next line of code,no,Halts the browser,no,"a, d"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
